controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
84,84,RADIATION,RADIATION,True,522500.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.842849599143362,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
85,85,RADIATION,RADIATION,True,522480.9204974669,5697184.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9203985826783467,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
86,86,RADIATION,RADIATION,True,522480.9204974669,5697164.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.102355902060635,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
87,87,RADIATION,RADIATION,True,522460.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,1.1426379313738142,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
88,88,RADIATION,RADIATION,True,522440.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.975575184287689,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
89,89,RADIATION,RADIATION,True,522420.9204974669,5697124.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.9378710185970569,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
90,90,RADIATION,RADIATION,True,522420.9204974669,5697144.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.8366983911646808,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
91,91,RADIATION,RADIATION,True,522440.9204974669,5697164.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.8486498644265517,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
92,92,RADIATION,RADIATION,True,522440.9204974669,5697184.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.74008934543739,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
93,93,RADIATION,RADIATION,True,522460.9204974669,5697204.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.7131276141516556,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
94,94,RADIATION,RADIATION,True,522480.9204974669,5697224.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6683013500648687,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
