path_distance_m,time_s,cumulative_sar_probability,cumulative_survivors_found,cumulative_uav_excess_distance_integral,cumulative_uav_total_distance_integral,cumulative_uav_excess_dose,cumulative_uav_total_dose,radiation_distance_integral_unit,radiation_dose_unit
47360.0,4736.0,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47361.0,4736.1,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47362.0,4736.2,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47363.0,4736.3,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47364.0,4736.4,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47365.0,4736.5,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47366.0,4736.6,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47367.0,4736.7,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47368.0,4736.8,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47369.0,4736.9,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47370.0,4737.0,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47371.0,4737.1,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47372.0,4737.2,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47373.0,4737.3,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47374.0,4737.4,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47375.0,4737.5,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47376.0,4737.6,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47377.0,4737.7,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47378.0,4737.8,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47379.0,4737.9,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47380.0,4738.0,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47381.0,4738.1,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47382.0,4738.2,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47383.0,4738.3,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47384.0,4738.4,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47385.0,4738.5,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47386.0,4738.6,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47387.0,4738.7,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47388.0,4738.8,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47389.0,4738.9,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47390.0,4739.0,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47391.0,4739.1,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47392.0,4739.2,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47393.0,4739.3,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47394.0,4739.4,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47395.0,4739.5,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47396.0,4739.6,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47397.0,4739.7,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47398.0,4739.8,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47399.0,4739.9,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47400.0,4740.0,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47401.0,4740.1,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
