Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
41,Spiral,flat,dry,medium,5,300000,0.11393505667426924,0.0004661096095200867,99.0,13.85676913757771,209.08052954218007
41,Concentric,flat,dry,medium,5,300000,0.11260717166209047,0.0003655620228186422,96.0,13.687792475322805,207.58626227618817
41,Pizza,flat,dry,medium,5,300000,0.11272902254411388,0.00027318175167370966,96.0,13.69107280438371,212.16980046766008
42,RandomWalk,flat,dry,medium,5,300000,0.013912089091421559,2.63164706268521e-30,18.0,3.518579353796834,300.0000000000003
42,Greedy,flat,dry,medium,5,300000,0.05723103218451099,0.007456930219626753,49.0,4.841030160022391,299.9999999999999
42,Spiral,flat,dry,medium,5,300000,0.08759288096880198,0.00018075517284714518,96.0,13.856769137577741,209.08052954218007
42,Concentric,flat,dry,medium,5,300000,0.08728933570322098,0.00016952192635085622,96.0,13.687792475280904,207.58626227618873
42,Pizza,flat,dry,medium,5,300000,0.08718078148603528,0.0005683834468096987,96.0,13.691072804384113,212.16980046766173
43,RandomWalk,flat,dry,medium,5,300000,0.03533589827114466,0.0013818826621097477,23.0,3.619566011904015,299.9999999999998
43,Greedy,flat,dry,medium,5,300000,0.09615353324526149,0.003446436594213779,79.0,7.631452991118314,300.00000000000074
43,Spiral,flat,dry,medium,5,300000,0.12315162931705871,0.0003604983369478165,98.0,13.856769137577619,209.0805295421799
43,Concentric,flat,dry,medium,5,300000,0.1223968428878568,0.0003771282832176062,97.0,13.687792475253133,207.58626227618768
43,Pizza,flat,dry,medium,5,300000,0.12236422696079521,0.0010918660306656227,97.0,13.691072804383952,212.16980046765997
44,RandomWalk,flat,dry,medium,5,300000,0.05842260984272661,8.823190524609877e-08,21.0,4.404422677389651,300.0000000000001
44,Greedy,flat,dry,medium,5,300000,0.18388953947319353,0.0008532694867402489,60.0,5.937275426290139,299.99999999999983
44,Spiral,flat,dry,medium,5,300000,0.2359143833673573,8.567352091823931e-05,98.0,13.856769137577587,209.0805295421803
44,Concentric,flat,dry,medium,5,300000,0.2318860467907454,0.00013955659562172107,96.0,13.687792475252834,207.58626227618925
44,Pizza,flat,dry,medium,5,300000,0.23199172078303,0.002207100277403095,96.0,13.691072804383992,212.1698004676615
