step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
143,522940.9204974669,5696604.290406497,50.0,1.0,0.13371871609825126,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
144,522960.9204974669,5696604.290406497,50.0,1.0,0.1469982454455851,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
145,522980.9204974669,5696604.290406497,50.0,1.0,0.16235822400064182,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
146,523000.920497467,5696624.290406497,50.0,1.0,0.18032479483734637,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
147,523020.920497467,5696624.290406497,50.0,1.0,0.20137066290054823,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
148,523040.920497467,5696644.290406497,50.0,1.0,0.22480519020440531,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
149,523060.920497467,5696644.290406497,50.0,1.0,0.254277360757557,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
150,523080.920497467,5696644.290406497,50.0,1.0,0.289928096335934,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
151,523100.920497467,5696664.290406497,50.0,1.0,0.32685503841796576,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
152,523120.920497467,5696664.290406497,50.0,1.0,0.3788054061832629,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
153,523140.920497467,5696684.290406497,50.0,1.0,0.42621984243787553,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
154,523160.920497467,5696684.290406497,50.0,1.0,0.5023548786267535,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
