survivor_id,x_m,y_m,original_found,radiation_aware_found,original_discovery_distance_m,radiation_aware_discovery_distance_m,discovery_distance_delta_aware_minus_original_m,original_pre_discovery_total_dose,radiation_aware_pre_discovery_total_dose,dose_unit,dose_delta_original_minus_radiation_aware,dose_reduction_ratio,dose_reduction_percent
74,523078.75877338107,5696748.782502631,True,True,4522.78143816552,9986.121345215095,5463.339907049575,0.12443157065220152,0.2747399538750638,uSv,-0.15030838322286227,-1.2079601859482187,-120.79601859482187
75,522733.3042571091,5697504.215260472,True,True,53874.40637815159,60613.631325940085,6739.224947788498,0.5875271200814695,0.661021710395157,uSv,-0.07349459031368755,-0.1250914005527037,-12.50914005527037
76,522778.1583192075,5697514.587236744,True,True,53855.53194513895,61064.58286488784,7209.050919748886,0.5756112449219862,0.6526620254963891,uSv,-0.07705078057440284,-0.1338590607013692,-13.385906070136919
77,522638.6940012301,5697329.766779418,True,True,11788.236244361126,14393.69583188479,2605.4595875236646,0.1936453612756249,0.23644524691215546,uSv,-0.04279988563653056,-0.22102200308124806,-22.102200308124807
78,522751.01258016465,5696946.41042006,True,True,23840.354638694305,3573.103760199024,-20267.25087849528,0.864250089852911,0.12953059183078108,uSv,0.7347194980221299,0.8501237160960825,85.01237160960825
79,523404.30215464113,5697325.287066394,True,False,15748.213633901707,,,0.15572919784302575,0.8582139069282753,uSv,-0.7024847090852495,-4.5109376970743185,-451.0937697074319
80,523238.98447642336,5697031.320640749,True,True,5717.091335883888,5241.528488821392,-475.5628470624961,0.15545896620608504,0.14252747635803484,uSv,0.012931489848050204,0.083182656900648,8.3182656900648
81,523202.753200823,5697245.40298261,True,False,6749.73051703695,,,0.10112124867939151,1.3002078646338766,uSv,-1.199086615954485,-11.857909505807543,-1185.7909505807543
82,523193.19623910234,5697183.825701348,True,True,5904.141497327108,17098.426349728732,11194.284852401624,0.11023647223404005,0.3192454317703868,uSv,-0.20900895953634674,-1.896005517054333,-189.6005517054333
83,522539.03472026443,5696762.621366847,False,False,,,,2.6748635204174596,2.661904856808389,uSv,0.012958663609070609,0.004844607401520127,0.48446074015201274
84,523355.73362253915,5697420.227922904,True,False,16251.37640838026,,,0.15307606542686944,0.8174739842124077,uSv,-0.6643979187855382,-4.34031222930111,-434.03122293011097
85,523353.65557529544,5697244.914884002,True,False,6136.086989526994,,,0.07111972904366633,1.0059013345762209,uSv,-0.9347816055325545,-13.14377343814983,-1314.377343814983
86,522766.7100205232,5696996.934132816,True,True,47726.680365853055,3605.934754157302,-44120.745611695755,1.6900007914438342,0.12768607708950896,uSv,1.5623147143543252,0.9244461436136834,92.44461436136834
87,523296.67082683934,5696725.0963258315,True,True,3848.352544327192,62435.52573105199,58587.173186724795,0.057106731326085104,0.9264974432713815,uSv,-0.8693907119452964,-15.223962075170949,-1522.3962075170948
88,522731.8071445958,5696847.684871984,False,True,,6360.196447062128,,3.0673319815837012,0.22369970665635147,uSv,2.8436322749273497,0.9270702656251598,92.70702656251598
89,522966.6170852334,5697196.024145708,True,True,43199.309777761526,9225.481947833581,-33973.82782992795,0.9412154890007872,0.20100243609142354,uSv,0.7402130529093637,0.78644376506722,78.644376506722
90,523338.25533690606,5696965.788214354,True,True,40336.967195338795,13464.319258326814,-26872.64793701198,0.684560060642682,0.2285034262332379,uSv,0.4560566344094441,0.66620397628995,66.62039762899501
91,523218.88540464384,5697116.692291211,True,True,5826.37238804044,17180.219447607382,11353.847059566942,0.1304569568320629,0.38467832084376674,uSv,-0.2542213640117038,-1.9486991739272495,-194.86991739272494
92,522592.45806408155,5696839.096939503,False,True,,55572.95399595907,,3.2992942240138885,2.1024158937854605,uSv,1.196878330228428,0.362767988837418,36.276798883741805
93,522875.4254994288,5696947.537773756,True,True,24132.137232212237,98.66926385210368,-24033.46796836013,0.912631170893409,0.0037314824184049764,uSv,0.908899688475004,0.9959112919463927,99.59112919463927
94,523159.9365257337,5697225.045066174,True,True,42893.81342749768,15252.185857191182,-27641.627570306497,0.7368583609594341,0.2620121591840988,uSv,0.4748462017753353,0.6444199142384119,64.44199142384119
95,523392.75022980326,5696608.84735645,False,False,,,,0.9432823626974084,0.9387125299813611,uSv,0.004569832716047273,0.004844607401520143,0.48446074015201435
96,522606.88547925075,5696583.832816892,True,True,772.8628645779196,11696.54513221879,10923.68226764087,0.05658144238302215,0.856306370523425,uSv,-0.7997249281404029,-14.13404986615132,-1413.404986615132
97,522416.24037758756,5696751.384307366,True,False,1777.2766325849677,,,0.036449577966305186,1.7798945454093913,uSv,-1.743444967443086,-47.83169146854776,-4783.169146854775
98,522614.98475117446,5697375.775148595,True,True,11843.639105228887,14620.100884598782,2776.4617793698944,0.16939199385641943,0.2091019506099961,uSv,-0.039709956753576664,-0.23442640853047483,-23.442640853047486
99,522674.246223303,5697108.8041538065,True,True,8056.586199684417,36842.85104229122,28786.264842606804,0.424443782169286,1.9409857543511733,uSv,-1.5165419721818871,-3.57301022159167,-357.30102215916696
